atributo,catas_fechas,valor
Aspecto,4/28/2023,3.8
Olor,4/28/2023,4.2
Sabor,4/28/2023,3.6
Textura,4/28/2023,4.2
ValoraciÃ³n global,4/28/2023,3.8
Aspecto,4/29/2023,2.2
Olor,4/29/2023,2.6
Sabor,4/29/2023,2.4
Textura,4/29/2023,2.4
ValoraciÃ³n global,4/29/2023,2.4
Aspecto,5/1/2023,9.6
Olor,5/1/2023,9.6
Sabor,5/1/2023,9.8
Textura,5/1/2023,9.6
ValoraciÃ³n global,5/1/2023,9.6
Aspecto,5/2/2023,8.2
Olor,5/2/2023,8.4
Sabor,5/2/2023,8.2
Textura,5/2/2023,8.4
ValoraciÃ³n global,5/2/2023,8.4
Aspecto,5/3/2023,6.8
Olor,5/3/2023,6.4
Sabor,5/3/2023,6.4
Textura,5/3/2023,6
ValoraciÃ³n global,5/3/2023,6.4
Aspecto,5/4/2023,4.8
Olor,5/4/2023,4.8
Sabor,5/4/2023,5.4
Textura,5/4/2023,4.6
ValoraciÃ³n global,5/4/2023,5.2
